title,bio,Rol / Cargo,Organización,designation,twitter,instagram,linkedin
Mirna Vazquez,"Mirna Vázquez Rosas Landa es investigadora en ecología microbiana, metagenómica y bioinformática. Su trabajo integra análisis de datos, ciencia abierta y programación en R para estudiar microbiomas ambientales. También impulsa comunidades de aprendizaje para que más mujeres en STEM desarrollen confianza técnica.",Investigadora,UNAM,Investigadora UNAM,,,https://www.linkedin.com/in/mirna-v%C3%A1zquez-rosas-landa-ph-d-7159ab140/
Gabriela Tejadilla,"Licenciada en Administración especializada en finanzas, cursando la Maestría en Gestión de la innovación en INFOTEC. 2 años de experiencia en la coordinación de proyectos y 6 en la administración del área de viáticos y pasajes; Principales actividades: Análisis Financiero, estrategias de innovación y vigilancia y control del gasto.",Program Manager,Actinver,Program Manager Actinver,,,https://www.linkedin.com/in/martha-gabriela-tejadilla-jaime-845921158/
Marisela Cadena,Actualmente desarrolladora frontend en El Puerto de Liverpool. Estudié la carrera de técnico en Informática y la Licenciatura en Ciencias de la Informática en el IPN. Egresada de la Maestría en Ciencias de la Computación del Centro en Investigación en Computación del IPN.,Desarrolladora web,El puerto de Liverpool,Desarrolladora web El puerto de Liverpool,@mariyselita,@mariyselita,linkedin.com/in/mariyselita
Jaqueline Razo,"Ingeniera Computacional, Directora en Mars México y fundadora de una consultora de desarrollo de software. Especializada en Inteligencia Artificial, analítica y transformación digital, ha liderado iniciativas globales de Data Engineering, Business Intelligence y AI. Cuenta con certificaciones de Microsoft en Azure y Ciencia de Datos, además de un Diplomado en Alta Gerencia y Alto Desempeño por el Tecnológico de Monterrey. Ha vivido y colaborado con equipos internacionales en España, Turquía, Canadá y México. Su misión es demostrar que el aprendizaje continuo y la exposición a nuevas oportunidades pueden transformar una carrera, y que en la era de la Inteligencia Artificial, aprender a aprender sigue siendo la habilidad más valiosa.",Directoria de Proyectos de Transformación Digital,MARS,Directoria de Proyectos de Transformación Digital MARS,,,https://www.linkedin.com/in/jaquelinerazo?utm_source=share_via&utm_content=profile&utm_medium=member_ios
Irais Serrano,"Ingeniera Senior de Datos con +8 años de experiencia diseñando plataformas de datos nativas en la nube, sistemas de analítica impulsados por inteligencia artificial y soluciones de migración a escala empresarial en entornos de fintech, banca y SaaS.

Especializado en la modernización de arquitecturas de datos heredadas mediante el uso de Azure, AWS, Databricks, Python y SQL, desarrollando pipelines escalables de ETL/ELT.

Experiencia práctica en la integración de soluciones de inteligencia artificial y aprendizaje automático en entornos de producción utilizando GPT-3.5 Turbo, Claude AI, TensorFlow y modelos de detección de anomalías para optimizar la generación de reportes, la eficiencia operativa y la toma de decisiones.

Sólida trayectoria en sistemas de datos financieros, automatización en la nube, CI/CD, observabilidad, gobierno de datos y desarrollo de soluciones analíticas orientadas a ejecutivos mediante Sigma Computing, Power BI, Grafana, Elastic Stack y OpenSearch**.",Senior Data Engineer,Improving,Senior Data Engineer Improving,,,https://www.linkedin.com/in/irais-serrano/
Doricela Gutierrez Cruz,"La Dra. Doricela Gutiérrez Cruz es Profesora Investigadora de Tiempo Completo en el Centro Universitario UAEM Nezahualcóyotl de la Universidad Autónoma del Estado de México. Es Ingeniera en Comunicaciones y Electrónica, Maestra en Ciencias en Ingeniería de Sistemas y Doctora en Ingeniería de Sistemas por el Instituto Politécnico Nacional.

Su trabajo académico se orienta a la ciencia de datos, minería de datos, inteligencia artificial, aprendizaje automático y sistemas inteligentes, con aplicaciones en educación, salud, bienestar, movilidad, seguridad y desarrollo institucional. Ha dirigido y participado en proyectos de investigación transdisciplinarios, así como en publicaciones, capítulos de libro y ponencias nacionales e internacionales.

Cuenta con reconocimiento de Perfil Deseable PRODEP, Nota Laudatoria de la UAEMéx y es integrante del Sistema Nacional de Investigadoras e Investigadores. Su labor también incluye la formación de recursos humanos, la coordinación académica y el impulso de proyectos que vinculan la tecnología con la solución de problemáticas sociales.",profesor de tiempo completo,universidad autonoma de estado de mexico,profesor de tiempo completo universidad autonoma de estado de mexico,,,https://www.linkedin.com/in/doricela-gutierrez-cruz-73ab57355?trk=contact-info
Mildred Green Gama,"Mtra. Mildred Green Gama nacida en Guadalajara Jalisco, profesora en el área de desarrollo de software con una trayectoria de 21 años en la docencia. Licenciada en Informática y Maestría en Gestión en tecnologías de la información. Actualmente Coordinadora de estadías en el área de desarrollo de software.",Profesor de tiempo completo área desarrollo de software,Universidad Tecnológica de la Zona Metropolitana de Guadalajara,Profesor de tiempo completo área desarrollo de software Universidad Tecnológica de la Zona Metropolitana de Guadalajara,,,milgrega
Sol Estrada,"Soy ingeniera en sistemas computacionales y me apasiona crear espacios donde los equipos crezcan, aprendan y generen valor sostenible.
Participo activamente en comunidades de mujeres en tecnología, impulsando espacios de aprendizaje, conexión y crecimiento colectivo.
Hoy regreso a un proyecto muy personal: Mux Kulli, donde, como Directora General, busco llevar la cultura del maíz a la Baja.",Consultor de Procesos,GRDS,Consultor de Procesos GRDS,,@solestradasoto,linkedin.com/in/sol-estrada-914b8b350
Paola Karina Flores Martínez,"Soy estudiante de Ingeniería en Computación en el Instituto Politécnico Nacional. Me considero una persona curiosa y con muchas ganas de aprender. Disfruto involucrarme en proyectos, comunidades y experiencias que me permitan desarrollar nuevas habilidades, conocer personas y seguir creciendo tanto personal como profesionalmente. Actualmente sigo explorando las distintas áreas de la tecnología mientras construyo el camino que quiero seguir como ingeniera.",Estudiante,Instituto Politécnico Nacional,Estudiante Instituto Politécnico Nacional,,karinaa.mzz,https://www.linkedin.com/in/flores-martinez-paola-karina-a6019b3a9
Berenice Lemus,"Diseñadora y estratega de experiencia de usuario con sólida experiencia conectando las necesidades de las personas con los objetivos de negocio. Me especializo en investigación, estrategia de producto y la definición de flujos complejos, transformando la ambigüedad en soluciones digitales intuitivas, accesibles y éticas. Considero que el diseño exitoso nace de la empatía profunda, tanto con el usuario final como con los equipos multidisciplinarios que hacen posible la tecnología. Como líder de comunidad, creo firmemente en el poder de la colaboración y la mentoría.",UX Researcher & Service Designer,Más Voces en Diseño México,UX Researcher & Service Designer Más Voces en Diseño México,,,https://www.linkedin.com/in/berenice-lemus/
