title,speakers,,description,slides,video
Cuando diseño y desarrollo hablan el mismo idioma. IA para escalar un Design System multimarca,Antonieta Carrasco,Charla,"Esta no es una charla sobre Kiro.

Tampoco es una charla sobre Figma.

Es la historia de cómo descubrimos que el verdadero valor de un Design System no estaba en sus componentes, sino en convertirse en un lenguaje compartido entre diseño y desarrollo.",cuando-diseo-y-desarrollo-hablan-el-mismo-idioma-ia-para-escalar-un-design-system-multimarca,
DETECTA: ¿Me hackearon o me están manipulando? Aprende a investigar riesgos digitales en la era de la IA,Amizaday Hernández,Charla,"La inteligencia artificial está transformando la forma en que nos comunicamos, trabajamos y aprendemos, pero también está facilitando nuevas formas de fraude, manipulación y violencia digital. Hoy, un mensaje, un correo electrónico, una llamada o incluso una imagen generada con IA pueden parecer completamente legítimos.

En este taller práctico aprenderás el método DETECTA, una metodología diseñada para analizar situaciones sospechosas, identificar señales de riesgo y tomar decisiones informadas cuando algo no parece estar bien en tus cuentas, dispositivos o redes sociales.

A través de casos reales inspirados en situaciones cotidianas, exploraremos cómo diferenciar un posible hackeo de una manipulación digital, cómo reconocer ataques potenciados por inteligencia artificial y qué evidencias revisar antes de actuar. Además, realizaremos una revisión práctica de herramientas y configuraciones de seguridad disponibles en computadoras y dispositivos móviles para identificar accesos no autorizados, sesiones activas, permisos de aplicaciones y otros indicadores de riesgo.

Al finalizar, las participantes contarán con un proceso claro para investigar incidentes digitales, fortalecer su seguridad personal y acompañar a otras personas en la protección de su identidad digital.

Porque en la era de la IA, la mejor defensa no es el miedo: es aprender a detectar, analizar y actuar.",detecta-me-hackearon-o-me-estan-manipulando-aprende-a-investigar-riesgos-digitales-en-la-era-de-la-ia,
Cómo los Modelos de Crédito Heredan Sesgos Históricos de Género: Begini como Caso de Estudio en Inclusión Financiera,Francys Lanza,Charla,"En gran parte de América Latina, los modelos de riesgo de crédito siguen dependiendo de datos del buró: historial de pago, límites, moras y consultas. Eso significa que los sesgos históricos en la forma en que se ha otorgado crédito, por ejemplo, en menores montos aprobados o en menos productos ofrecidos a mujeres, quedan codificados en los datos que entrenan los modelos actuales. Evaluar el sesgo en estos modelos exige mirar más allá de la métrica de precisión y preguntarnos: ¿qué pasa con las personas, en especial con las mujeres, que quedan sistemáticamente subvaloradas por ese sistema? Estas preguntas abren la puerta a explorar tanto las limitaciones del enfoque tradicional como los riesgos de trasladar los mismos patrones a nuevas fuentes de datos y a sistemas de IA más complejos.

En ese contexto, Begini propone una alternativa: construir un score basado en datos psicométricos y de comportamiento, generando datos de carácter de primera mano a través de pruebas breves que miden rasgos como locus de control, impulsividad, confianza o gratificación diferida. Este enfoque permite evaluar cómo decide y se organiza una persona hoy, sin depender únicamente de cuánto crédito formal tuvo en el pasado, algo crucial para mujeres y otros grupos con historiales “delgados” por falta de oportunidades más que por falta de capacidad de pago. Además, las métricas psicométricas se generan bajo condiciones controladas y pueden auditarse y recalibrarse para evitar que penalicen de forma injustificada a un género o grupo específico, reduciendo la herencia de sesgos históricos. Al complementar el buró con este perfil de carácter, las entidades financieras pueden distinguir entre quienes tienen poco historial por exclusión previa y quienes muestran patrones de riesgo genuinamente problemáticos, abriendo espacio a decisiones de crédito más explicables, personalizadas y alineadas con una inclusión financiera más justa.",como-los-modelos-de-credito-heredan-sesgos-historicos-de-genero-begini-como-caso-de-estudio-en-inclusion-financiera,
MLOps vs DevOps - El siguiente paso en la evolución tech,Daniela Cortes,Charla,DevOps no fue diseñado para modelos ni datos. MLOps extiende estas prácticas para sistemas basados en AI. El objetivo de esta charla es entender la transición hacia arquitecturas basadas en datos e inteligencia artificial. Además de conocer el ciclo de vida de MLOps y diferencias con DevOps tradicional.,mlops-vs-devops-el-siguiente-paso-en-la-evolucion-tech,
Datos contra el olvido: cómo construí un mapa de organizaciones que documentan feminicidios en México con herramientas gratuitas,Nydia Mejía Zavala,Charla,"Título sugerido:

""Datos contra el olvido: cómo construí un mapa de organizaciones que documentan feminicidios en México con herramientas gratuitas""


Abstract (287 palabras):

En México, decenas de organizaciones civiles documentan feminicidios de forma independiente. Su trabajo es fundamental — y casi invisible. No existe una herramienta que reúna, en un solo lugar, quiénes son, dónde están, cómo trabajan y qué producen.

Este proyecto nació para resolver eso.

Como parte de un curso sobre datos contra feminicidios, construí un mapa interactivo que visualiza estas organizaciones a lo largo del territorio nacional. Pero el proceso me enseñó algo que no esperaba: mi noción inicial de ""documentación"" era demasiado estrecha. Empecé pensando solo en bases de datos y registros estadísticos. Al investigar, descubrí que documentar también es arte: minidocumentales, performances, murales, proyectos de memoria colectiva. Ampliar esa definición fue una decisión técnica, pero sobre todo fue una decisión feminista.

El stack es deliberadamente accesible: Python, Pandas y Folium para construir el mapa; Google Colab como entorno de desarrollo; GitHub Pages para publicarlo de forma gratuita. Sin servidores, sin presupuesto, sin equipo. Solo una persona, herramientas open source y un problema que valía la pena resolver.

En esta charla comparto el proceso completo: desde la limpieza de datos y la construcción del mapa interactivo, hasta las decisiones metodológicas sobre qué incluir y por qué. También hablo de las limitaciones honestas del proyecto — el mapa está en construcción permanente — y de cómo la comunidad puede contribuir a completarlo.

El mensaje central es simple: no necesitas infraestructura costosa ni un equipo grande para construir algo significativo. Necesitas identificar un problema real, las herramientas correctas y la claridad de que los datos nunca son neutrales.",datos-contra-el-olvido-como-construi-un-mapa-de-organizaciones-que-documentan-feminicidios-en-mexico-con-herramientas-gratuitas,
Ubicando la IA en el mundo real: contextualizando llms con inteligencia geoespacial,Martha Villanueva,Charla,"En la era de la inteligencia artificial generativa, los modelos de lenguaje (LLMs) han demostrado una capacidad asombrosa para razonar y crear. Sin embargo, cuando se trata de interactuar con el mundo físico, a menudo se enfrentan a un desafío crítico: la falta de contexto en tiempo real y las ""alucinaciones"" geográficas. ¿Cómo podemos asegurar que las respuestas de una IA estén verdaderamente conectadas con la realidad de nuestro entorno? La respuesta está en la Inteligencia Geoespacial.

En esta charla de 15 minutos, exploraremos el concepto de Grounding (anclaje de datos) utilizando la infraestructura de Google Maps. Analizaremos cómo conectar el poder cognitivo de la IA con la base de datos geográfica más grande y actualizada del planeta. Explicaremos cómo este enfoque permite a los desarrolladores ""anclar"" las respuestas de sus modelos a datos del mundo real —desde la ubicación exacta y horarios de un negocio hasta condiciones dinámicas del entorno—, transformando consultas abstractas en soluciones precisas, confiables y con contexto local.

Diseñada para desarrolladoras y entusiastas de la tecnología, esta sesión flash desmitificará la integración de APIs geoespaciales con modelos de IA. Las asistentes se llevarán una visión clara de cómo el Grounding mitiga los errores de los LLMs, abre nuevas posibilidades para el desarrollo de aplicaciones inteligentes y redefine la forma en que el software interactúa con nuestro espacio físico.",ubicando-la-ia-en-el-mundo-real-contextualizando-llms-con-inteligencia-geoespacial,
De la información al conocimiento: minería de datos como herramienta para transformar realidades,Doricela Gutierrez Cruz,Charla,"La minería de datos se ha consolidado como una herramienta estratégica para transformar volúmenes de información en conocimiento para la toma de decisiones. Esta propuesta presenta una reflexión sobre su potencial para atender problemáticas complejas en ámbitos como la educación, la salud y el bienestar, a partir de una trayectoria centrada en la ciencia de datos, la inteligencia artificial y los sistemas inteligentes.

El trabajo recupera experiencias desarrolladas en proyectos de investigación transdisciplinarios, en el proyecto “Sistemas transdisciplinarios basados en minería de datos para la promoción de la salud y el bienestar”. Desde el modelo KDD, se aborda el proceso mediante el cual los datos son seleccionados, depurados, transformados, analizados e interpretados para identificar patrones, factores asociados y oportunidades de intervención. Más allá de la precisión de los algoritmos, se resalta la importancia de traducir los hallazgos en acciones comprensibles, pertinentes y responsables.

La exposición mostrará cómo técnicas de clasificación, agrupamiento y reglas de asociación pueden apoyar la identificación temprana de riesgos académicos, el análisis de condiciones relacionadas con la salud y la generación de evidencia para orientar estrategias de prevención y acompañamiento. Asimismo, se enfatizará que los datos representan trayectorias, necesidades y contextos de personas; por ello, su uso debe incorporar criterios de calidad, ética, privacidad, transparencia e interpretación interdisciplinaria.

Como mujer en STEM, esta experiencia evidencia que la participación femenina en ingeniería y tecnología fortalece la construcción de soluciones más incluyentes y vinculadas con los retos sociales. La minería de datos no debe entenderse únicamente como un recurso técnico, sino como una herramienta para impulsar investigación aplicada, formar nuevas generaciones y promover decisiones que contribuyan a mejorar la vida de las comunidades.

La propuesta invita a reconocer que transformar realidades requiere pasar de la información aislada al conocimiento accionable, combinando innovación tecnológica, pensamiento crítico, colaboración y compromiso social.",de-la-informacion-al-conocimiento-mineria-de-datos-como-herramienta-para-transformar-realidades,
⁠⁠Liderando con Neurodivergencia: Herramientas reales para mujeres en tecnologia,Ana Guadalupe Cifuentes Sanchez,Charla,"Navegar por el demandante mundo de la tecnología y el liderazgo de comunidades es un reto enorme. Pero, ¿qué pasa cuando a las responsabilidades diarias de ser una mujer ""godín"" en el sector tech le sumamos el TDAH, el Trastorno de Ansiedad Generalizada y la depresión? En esta charla, nos quitaremos los filtros para hablar de la realidad de la neurodivergencia y la salud mental en nuestros espacios de trabajo.

A través de mi experiencia personal liderando equipos de trabajo y organizando iniciativas comunitarias, compartiré cómo se manifiestan realmente estos síntomas en el día a día corporativo, con el objetivo de ayudarte a identificarlos en ti misma o en tus colegas. 

Más allá de la teoría, exploraremos herramientas prácticas y insights reales que me han permitido no solo sobrellevar estos retos, sino seguir impulsando proyectos, organizando eventos y gestionando personas con empatía. 

Si alguna vez te has sentido abrumada intentando equilibrar tu mente, tu carrera y tus comunidades, este espacio es para ti.",liderando-con-neurodivergencia-herramientas-reales-para-mujeres-en-tecnologia,
AI-Ready Data (Por qué no hay IA sin una estrategia de datos),Valery Calderón Briz,Charla,"Implementar IA sin una estrategia de datos es una receta para el fracaso. El famoso 'Garbage In, Garbage Out' sigue siendo el mayor obstáculo para la innovación. En esta sesión, hablaremos sobre las estrategias para construir un ecosistema de datos 'AI-Ready'. 
En está charla veremos estrategias prácticas de gobernanza de datos para garantizar la disponibilidad, seguridad, consistencia y fiabilidad de la información, asegurando que tus modelos de IA operen sobre una base sólida y escalable, alineada con las exigencias del mercado actual.",aiready-data-por-que-no-hay-ia-sin-una-estrategia-de-datos,
